"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923225"
"eastern cape","Pfizer","1364334"
"free state","Johnson & Johnson","489265"
"free state","Pfizer","685508"
"gauteng","Johnson & Johnson","1568761"
"gauteng","Pfizer","3951252"
"kwazulu-natal","Johnson & Johnson","1257525"
"kwazulu-natal","Pfizer","2012318"
"limpopo","Johnson & Johnson","1089975"
"limpopo","Pfizer","1062095"
"mpumalanga","Johnson & Johnson","838812"
"mpumalanga","Pfizer","586566"
"northern cape","Johnson & Johnson","217877"
"northern cape","Pfizer","229989"
"north west","Johnson & Johnson","718366"
"north west","Pfizer","631789"
"western cape","Johnson & Johnson","757570"
"western cape","Pfizer","2136720"
