"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14458","5335","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12303","4404","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19189","10630","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15191","7504","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8502","3082","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7512","2414","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11178","6458","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9432","4825","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13645","5358","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11211","3924","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17816","6743","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15065","4819","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26403","15787","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23360","12649","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4258","1194","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3481","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51464","21818","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42164","16781","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15314","6894","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12255","5219","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19588","10296","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16070","7798","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6728","2893","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4389","1796","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26199","12444","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22732","10566","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13303","7890","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10474","5745","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8846","4460","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5380","2484","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12666","5167","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8317","3168","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13229","5690","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8687","3192","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14156","5789","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10225","3822","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20439","10318","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12962","5428","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14885","6332","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9169","3450","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15497","6983","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10456","4102","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24120","12831","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17344","8118","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36742","15429","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31580","11629","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37239","13035","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30669","9404","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26374","10039","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25860","8438","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38211","12742","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30949","8794","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17652","6977","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14766","5176","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47952","19759","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36695","13021","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17111","6609","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17740","5550","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7613","3728","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6334","2820","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1716","667","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1378","503","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3604","1595","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2752","1143","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32312","13466","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26788","9922","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21400","7504","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17832","5482","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9294","4039","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8104","3352","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","814","383","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","629","280","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6305","2565","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5351","1976","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3026","1003","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2390","775","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4180","1891","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3646","1440","22568"
