"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921757"
"eastern cape","Pfizer","1358129"
"free state","Johnson & Johnson","488852"
"free state","Pfizer","683088"
"gauteng","Johnson & Johnson","1562231"
"gauteng","Pfizer","3941891"
"kwazulu-natal","Johnson & Johnson","1254352"
"kwazulu-natal","Pfizer","2005805"
"limpopo","Johnson & Johnson","1086555"
"limpopo","Pfizer","1056903"
"mpumalanga","Johnson & Johnson","836308"
"mpumalanga","Pfizer","583154"
"northern cape","Johnson & Johnson","217187"
"northern cape","Pfizer","229124"
"north west","Johnson & Johnson","716774"
"north west","Pfizer","629321"
"western cape","Johnson & Johnson","755779"
"western cape","Pfizer","2132970"
