"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922625"
"eastern cape","Pfizer","1361670"
"free state","Johnson & Johnson","489104"
"free state","Pfizer","684467"
"gauteng","Johnson & Johnson","1565989"
"gauteng","Pfizer","3947128"
"kwazulu-natal","Johnson & Johnson","1256123"
"kwazulu-natal","Pfizer","2009436"
"limpopo","Johnson & Johnson","1088792"
"limpopo","Pfizer","1059915"
"mpumalanga","Johnson & Johnson","837819"
"mpumalanga","Pfizer","585086"
"northern cape","Johnson & Johnson","217586"
"northern cape","Pfizer","229623"
"north west","Johnson & Johnson","717743"
"north west","Pfizer","630653"
"western cape","Johnson & Johnson","756761"
"western cape","Pfizer","2134980"
