"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14334","5148","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12143","4233","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19079","10478","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14946","7301","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8504","3093","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7534","2423","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11189","6450","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9441","4807","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13709","5372","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11235","3933","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17892","6760","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15115","4834","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26484","15780","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23431","12627","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4277","1193","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3502","813","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51682","21903","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42322","16802","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15396","6928","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12290","5235","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19662","10303","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16119","7804","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6764","2908","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4413","1805","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26315","12509","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22808","10589","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13354","7911","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10509","5762","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8897","4477","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5411","2482","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12716","5186","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8358","3181","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13280","5704","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8709","3187","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14183","5787","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10232","3816","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20517","10335","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13023","5438","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14946","6355","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9218","3462","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15574","7012","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10510","4113","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24227","12888","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17416","8141","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36592","15320","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31471","11539","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37151","12823","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30572","9231","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26434","10055","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25929","8456","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38272","12783","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30987","8810","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17626","6949","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14731","5142","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47829","19333","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36531","12664","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17189","6628","80945"
