"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156664","60773","416942"
"EASTERN CAPE","12-17","Male","128926","43624","429096"
"FREE STATE","12-17","Female","92741","45267","161705"
"FREE STATE","12-17","Male","79021","34105","162847"
"GAUTENG","12-17","Female","215547","96129","649047"
"GAUTENG","12-17","Male","177251","74408","648920"
"KWAZULU-NATAL","12-17","Female","174180","79075","647510"
"KWAZULU-NATAL","12-17","Male","122577","50453","658202"
"LIMPOPO","12-17","Female","154892","54420","352420"
"LIMPOPO","12-17","Male","132938","40368","372427"
"MPUMALANGA","12-17","Female","80621","28625","257710"
"MPUMALANGA","12-17","Male","66750","20125","259479"
"NORTHERN CAPE","12-17","Female","20072","7987","69852"
"NORTHERN CAPE","12-17","Male","16041","5900","69047"
"NORTH WEST","12-17","Female","83623","30390","221385"
"NORTH WEST","12-17","Male","69770","22399","223092"
"WESTERN CAPE","12-17","Female","70673","28813","320269"
"WESTERN CAPE","12-17","Male","60649","24212","322848"
