"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917772"
"eastern cape","Pfizer","1340901"
"free state","Johnson & Johnson","487285"
"free state","Pfizer","675483"
"gauteng","Johnson & Johnson","1546840"
"gauteng","Pfizer","3913753"
"kwazulu-natal","Johnson & Johnson","1245411"
"kwazulu-natal","Pfizer","1985302"
"limpopo","Johnson & Johnson","1079867"
"limpopo","Pfizer","1044182"
"mpumalanga","Johnson & Johnson","829572"
"mpumalanga","Pfizer","575023"
"northern cape","Johnson & Johnson","216043"
"northern cape","Pfizer","226919"
"north west","Johnson & Johnson","713779"
"north west","Pfizer","623446"
"western cape","Johnson & Johnson","751060"
"western cape","Pfizer","2121941"
