"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917346"
"eastern cape","Pfizer","1339211"
"free state","Johnson & Johnson","487110"
"free state","Pfizer","674601"
"gauteng","Johnson & Johnson","1545176"
"gauteng","Pfizer","3910431"
"kwazulu-natal","Johnson & Johnson","1244105"
"kwazulu-natal","Pfizer","1982702"
"limpopo","Johnson & Johnson","1079275"
"limpopo","Pfizer","1042987"
"mpumalanga","Johnson & Johnson","828746"
"mpumalanga","Pfizer","574170"
"northern cape","Johnson & Johnson","215937"
"northern cape","Pfizer","226718"
"north west","Johnson & Johnson","713481"
"north west","Pfizer","622811"
"western cape","Johnson & Johnson","750615"
"western cape","Pfizer","2120682"
