"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156086","59682","416942"
"EASTERN CAPE","12-17","Male","128276","42636","429096"
"FREE STATE","12-17","Female","92882","45191","161705"
"FREE STATE","12-17","Male","79114","34047","162847"
"GAUTENG","12-17","Female","215987","96135","649047"
"GAUTENG","12-17","Male","177584","74357","648920"
"KWAZULU-NATAL","12-17","Female","174180","78370","647510"
"KWAZULU-NATAL","12-17","Male","122533","50069","658202"
"LIMPOPO","12-17","Female","154500","54162","352420"
"LIMPOPO","12-17","Male","132667","40196","372427"
"MPUMALANGA","12-17","Female","80504","28443","257710"
"MPUMALANGA","12-17","Male","66714","19982","259479"
"NORTHERN CAPE","12-17","Female","20037","7916","69852"
"NORTHERN CAPE","12-17","Male","15997","5833","69047"
"NORTH WEST","12-17","Female","83816","30447","221385"
"NORTH WEST","12-17","Male","69887","22396","223092"
"WESTERN CAPE","12-17","Female","70713","28749","320269"
"WESTERN CAPE","12-17","Male","60597","24148","322848"
