"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926483"
"eastern cape","Pfizer","1373853"
"free state","Johnson & Johnson","489763"
"free state","Pfizer","688494"
"gauteng","Johnson & Johnson","1578305"
"gauteng","Pfizer","3963725"
"kwazulu-natal","Johnson & Johnson","1261363"
"kwazulu-natal","Pfizer","2019243"
"limpopo","Johnson & Johnson","1092658"
"limpopo","Pfizer","1068141"
"mpumalanga","Johnson & Johnson","841231"
"mpumalanga","Pfizer","589508"
"northern cape","Johnson & Johnson","218500"
"northern cape","Pfizer","231139"
"north west","Johnson & Johnson","720366"
"north west","Pfizer","635205"
"western cape","Johnson & Johnson","760092"
"western cape","Pfizer","2141286"
