"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","910622"
"eastern cape","Pfizer","1324806"
"free state","Johnson & Johnson","484004"
"free state","Pfizer","667162"
"gauteng","Johnson & Johnson","1526877"
"gauteng","Pfizer","3881219"
"kwazulu-natal","Johnson & Johnson","1227226"
"kwazulu-natal","Pfizer","1957684"
"limpopo","Johnson & Johnson","1073377"
"limpopo","Pfizer","1032692"
"mpumalanga","Johnson & Johnson","813811"
"mpumalanga","Pfizer","564600"
"northern cape","Johnson & Johnson","213205"
"northern cape","Pfizer","222851"
"north west","Johnson & Johnson","709644"
"north west","Pfizer","616998"
"western cape","Johnson & Johnson","745413"
"western cape","Pfizer","2109838"
