"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918501"
"eastern cape","Pfizer","1343513"
"free state","Johnson & Johnson","487516"
"free state","Pfizer","676611"
"gauteng","Johnson & Johnson","1549082"
"gauteng","Pfizer","3918437"
"kwazulu-natal","Johnson & Johnson","1247131"
"kwazulu-natal","Pfizer","1989262"
"limpopo","Johnson & Johnson","1080807"
"limpopo","Pfizer","1046156"
"mpumalanga","Johnson & Johnson","830647"
"mpumalanga","Pfizer","576303"
"northern cape","Johnson & Johnson","216182"
"northern cape","Pfizer","227292"
"north west","Johnson & Johnson","714228"
"north west","Pfizer","624316"
"western cape","Johnson & Johnson","751749"
"western cape","Pfizer","2123773"
