"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","891527"
"eastern cape","Pfizer","1303542"
"free state","Johnson & Johnson","475078"
"free state","Pfizer","654907"
"gauteng","Johnson & Johnson","1483686"
"gauteng","Pfizer","3820967"
"kwazulu-natal","Johnson & Johnson","1193723"
"kwazulu-natal","Pfizer","1908784"
"limpopo","Johnson & Johnson","1052605"
"limpopo","Pfizer","1014309"
"mpumalanga","Johnson & Johnson","786965"
"mpumalanga","Pfizer","551101"
"northern cape","Johnson & Johnson","209208"
"northern cape","Pfizer","218111"
"north west","Johnson & Johnson","697119"
"north west","Pfizer","605824"
"western cape","Johnson & Johnson","732585"
"western cape","Pfizer","2088768"
