"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","134323","35612","416942"
"EASTERN CAPE","12-17","Male","108244","24083","429096"
"FREE STATE","12-17","Female","87198","35848","161705"
"FREE STATE","12-17","Male","73785","26182","162847"
"GAUTENG","12-17","Female","202726","78773","649047"
"GAUTENG","12-17","Male","166384","61006","648920"
"KWAZULU-NATAL","12-17","Female","141776","46998","647510"
"KWAZULU-NATAL","12-17","Male","99961","30771","658202"
"LIMPOPO","12-17","Female","127335","37519","352420"
"LIMPOPO","12-17","Male","106335","28000","372427"
"MPUMALANGA","12-17","Female","69353","18432","257710"
"MPUMALANGA","12-17","Male","58465","13536","259479"
"NORTHERN CAPE","12-17","Female","14231","4444","69852"
"NORTHERN CAPE","12-17","Male","11632","3325","69047"
"NORTH WEST","12-17","Female","78547","23815","221385"
"NORTH WEST","12-17","Male","65282","17340","223092"
"WESTERN CAPE","12-17","Female","70272","26434","320269"
"WESTERN CAPE","12-17","Male","59778","21957","322848"
