"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","830674","0","93944","924618"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","450692","0","62442","513134"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1346448","0","153132","1499580"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1099250","0","120874","1220124"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1018427","0","96685","1115112"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","765083","0","78587","843670"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","199745","0","19204","218949"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","673657","0","82524","756181"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","638074","0","86670","724744"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60853","0","24220","85073"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137238","0","65358","202596"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94473","0","40020","134493"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34178","0","17016","51194"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21882","0","7150","29032"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9463","0","4455","13918"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23462","0","8964","32426"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94511","0","61528","156039"
"Pfizer","National","eastern cape","Adults","1303542","1085488","163167","2552197"
"Pfizer","National","eastern cape","12-17 Years","242567","59695","0","302262"
"Pfizer","National","free state","12-17 Years","160983","62030","0","223013"
"Pfizer","National","free state","Adults","654907","570417","101353","1326677"
"Pfizer","National","gauteng","12-17 Years","369110","139779","6","508895"
"Pfizer","National","gauteng","Adults","3820967","3289037","543012","7653016"
"Pfizer","National","kwazulu-natal","Adults","1908784","1573382","252045","3734211"
"Pfizer","National","kwazulu-natal","12-17 Years","241737","77769","4","319510"
"Pfizer","National","limpopo","Adults","1014309","848245","124068","1986622"
"Pfizer","National","limpopo","12-17 Years","233670","65519","0","299189"
"Pfizer","National","mpumalanga","12-17 Years","127818","31968","0","159786"
"Pfizer","National","mpumalanga","Adults","551101","450736","73775","1075612"
"Pfizer","National","northern cape","12-17 Years","25863","7769","0","33632"
"Pfizer","National","northern cape","Adults","218111","185847","24707","428665"
"Pfizer","National","north west","12-17 Years","143829","41155","0","184984"
"Pfizer","National","north west","Adults","605824","521672","86027","1213523"
"Pfizer","National","western cape","12-17 Years","130050","48391","1","178442"
"Pfizer","National","western cape","Adults","2088768","1827014","404972","4320754"
