"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","161039","67003","416942"
"EASTERN CAPE","12-17","Male","133517","49343","429096"
"FREE STATE","12-17","Female","92220","45646","161705"
"FREE STATE","12-17","Male","78728","34467","162847"
"GAUTENG","12-17","Female","213095","95951","649047"
"GAUTENG","12-17","Male","175445","74461","648920"
"KWAZULU-NATAL","12-17","Female","173473","81680","647510"
"KWAZULU-NATAL","12-17","Male","122155","52104","658202"
"LIMPOPO","12-17","Female","156467","56906","352420"
"LIMPOPO","12-17","Male","134146","42316","372427"
"MPUMALANGA","12-17","Female","81348","30959","257710"
"MPUMALANGA","12-17","Male","67107","21616","259479"
"NORTHERN CAPE","12-17","Female","20361","8531","69852"
"NORTHERN CAPE","12-17","Male","16264","6300","69047"
"NORTH WEST","12-17","Female","82512","30281","221385"
"NORTH WEST","12-17","Male","68911","22480","223092"
"WESTERN CAPE","12-17","Female","71309","29437","320269"
"WESTERN CAPE","12-17","Male","61302","24767","322848"
