"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920508"
"eastern cape","Pfizer","1352195"
"free state","Johnson & Johnson","488440"
"free state","Pfizer","680671"
"gauteng","Johnson & Johnson","1556756"
"gauteng","Pfizer","3933231"
"kwazulu-natal","Johnson & Johnson","1251395"
"kwazulu-natal","Pfizer","1999493"
"limpopo","Johnson & Johnson","1083822"
"limpopo","Pfizer","1052545"
"mpumalanga","Johnson & Johnson","834056"
"mpumalanga","Pfizer","580523"
"northern cape","Johnson & Johnson","216627"
"northern cape","Pfizer","228338"
"north west","Johnson & Johnson","715709"
"north west","Pfizer","627242"
"western cape","Johnson & Johnson","754324"
"western cape","Pfizer","2129510"
