"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","152422","50691","416942"
"EASTERN CAPE","12-17","Male","124199","35234","429096"
"FREE STATE","12-17","Female","92759","42291","161705"
"FREE STATE","12-17","Male","78704","31563","162847"
"GAUTENG","12-17","Female","215079","91799","649047"
"GAUTENG","12-17","Male","176335","70395","648920"
"KWAZULU-NATAL","12-17","Female","165089","66020","647510"
"KWAZULU-NATAL","12-17","Male","115801","41930","658202"
"LIMPOPO","12-17","Female","145514","47639","352420"
"LIMPOPO","12-17","Male","122820","35224","372427"
"MPUMALANGA","12-17","Female","77843","24451","257710"
"MPUMALANGA","12-17","Male","64628","17531","259479"
"NORTHERN CAPE","12-17","Female","18140","5792","69852"
"NORTHERN CAPE","12-17","Male","14552","4344","69047"
"NORTH WEST","12-17","Female","83656","28889","221385"
"NORTH WEST","12-17","Male","69513","20849","223092"
"WESTERN CAPE","12-17","Female","70803","27640","320269"
"WESTERN CAPE","12-17","Male","60348","23019","322848"
