Unnamed: 0,visit_date,province,district,age_group,sex,vaccine_manufacturer,vaccine_rollout_phase,health_sector,first_dose_total,second_dose_total,booster_dose_total,immunocompromised_booster_dose_total,continuous_booster_dose_total,sisonke_booster_dose_total,individuals_vaccinated_total,individuals_fully_vaccinated_total,total_vaccines_administered,total_population
3480000,,Free State,Lejweleputswa DM,50-59,Female,Johnson & Johnson,Sisonke,Public,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1508.0
3480001,,Free State,Lejweleputswa DM,50-59,Female,Johnson & Johnson,Sisonke,Public,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2180.0
3480002,,Free State,Lejweleputswa DM,50-59,Female,Johnson & Johnson,Sisonke,Public,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2853.0
3480003,,Free State,Lejweleputswa DM,50-59,Female,Johnson & Johnson,Sisonke,Public,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4489.0
3480004,,Free State,Lejweleputswa DM,50-59,Female,Johnson & Johnson,Sisonke,Public,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,23254.0
3480005,,Free State,Lejweleputswa DM,50-59,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1196.0
3480006,,Free State,Lejweleputswa DM,50-59,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1521.0
3480007,,Free State,Lejweleputswa DM,50-59,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2864.0
3480008,,Free State,Lejweleputswa DM,50-59,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2967.0
3480009,,Free State,Lejweleputswa DM,50-59,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20556.0
3480010,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,National,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3817.0
3480011,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,National,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,17668.0
3480012,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,National,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,30343.0
3480013,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,National,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,76334.0
3480014,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3817.0
3480015,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,17668.0
3480016,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,30343.0
3480017,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Private,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,76334.0
3480018,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3817.0
3480019,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17668.0
3480020,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30343.0
3480021,,Free State,Mangaung MM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,76334.0
3480022,,Free State,Mangaung MM,35-49,Female,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2454.0
