"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922866"
"eastern cape","Pfizer","1362909"
"free state","Johnson & Johnson","489180"
"free state","Pfizer","684991"
"gauteng","Johnson & Johnson","1567473"
"gauteng","Pfizer","3949351"
"kwazulu-natal","Johnson & Johnson","1256743"
"kwazulu-natal","Pfizer","2010862"
"limpopo","Johnson & Johnson","1089322"
"limpopo","Pfizer","1060943"
"mpumalanga","Johnson & Johnson","838287"
"mpumalanga","Pfizer","585821"
"northern cape","Johnson & Johnson","217750"
"northern cape","Pfizer","229808"
"north west","Johnson & Johnson","718071"
"north west","Pfizer","631260"
"western cape","Johnson & Johnson","757131"
"western cape","Pfizer","2135760"
