"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917953"
"eastern cape","Pfizer","1341878"
"free state","Johnson & Johnson","487372"
"free state","Pfizer","675873"
"gauteng","Johnson & Johnson","1547687"
"gauteng","Pfizer","3915495"
"kwazulu-natal","Johnson & Johnson","1246018"
"kwazulu-natal","Pfizer","1986792"
"limpopo","Johnson & Johnson","1080127"
"limpopo","Pfizer","1044848"
"mpumalanga","Johnson & Johnson","829997"
"mpumalanga","Pfizer","575492"
"northern cape","Johnson & Johnson","216084"
"northern cape","Pfizer","227026"
"north west","Johnson & Johnson","713949"
"north west","Pfizer","623799"
"western cape","Johnson & Johnson","751293"
"western cape","Pfizer","2122561"
