"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154676","55885","416942"
"EASTERN CAPE","12-17","Male","127089","39445","429096"
"FREE STATE","12-17","Female","93104","44408","161705"
"FREE STATE","12-17","Male","79245","33262","162847"
"GAUTENG","12-17","Female","217523","95793","649047"
"GAUTENG","12-17","Male","178741","73878","648920"
"KWAZULU-NATAL","12-17","Female","173468","73610","647510"
"KWAZULU-NATAL","12-17","Male","121932","47163","658202"
"LIMPOPO","12-17","Female","153044","52575","352420"
"LIMPOPO","12-17","Male","131865","39092","372427"
"MPUMALANGA","12-17","Female","79535","27108","257710"
"MPUMALANGA","12-17","Male","66261","19207","259479"
"NORTHERN CAPE","12-17","Female","19212","6701","69852"
"NORTHERN CAPE","12-17","Male","15335","4954","69047"
"NORTH WEST","12-17","Female","84390","30338","221385"
"NORTH WEST","12-17","Male","70276","22187","223092"
"WESTERN CAPE","12-17","Female","70851","28506","320269"
"WESTERN CAPE","12-17","Male","60663","23907","322848"
