"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913959"
"eastern cape","Pfizer","1330836"
"free state","Johnson & Johnson","485582"
"free state","Pfizer","670063"
"gauteng","Johnson & Johnson","1535362"
"gauteng","Pfizer","3894181"
"kwazulu-natal","Johnson & Johnson","1233852"
"kwazulu-natal","Pfizer","1968751"
"limpopo","Johnson & Johnson","1075937"
"limpopo","Pfizer","1036999"
"mpumalanga","Johnson & Johnson","820017"
"mpumalanga","Pfizer","567961"
"northern cape","Johnson & Johnson","214389"
"northern cape","Pfizer","224604"
"north west","Johnson & Johnson","711546"
"north west","Pfizer","619575"
"western cape","Johnson & Johnson","747849"
"western cape","Pfizer","2114289"
