"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922537"
"eastern cape","Pfizer","1361485"
"free state","Johnson & Johnson","489082"
"free state","Pfizer","684371"
"gauteng","Johnson & Johnson","1565642"
"gauteng","Pfizer","3946676"
"kwazulu-natal","Johnson & Johnson","1255958"
"kwazulu-natal","Pfizer","2009100"
"limpopo","Johnson & Johnson","1088715"
"limpopo","Pfizer","1059746"
"mpumalanga","Johnson & Johnson","837712"
"mpumalanga","Pfizer","584953"
"northern cape","Johnson & Johnson","217555"
"northern cape","Pfizer","229559"
"north west","Johnson & Johnson","717650"
"north west","Pfizer","630541"
"western cape","Johnson & Johnson","756678"
"western cape","Pfizer","2134832"
