"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154868","55825","416942"
"EASTERN CAPE","12-17","Male","127206","39381","429096"
"FREE STATE","12-17","Female","93254","44334","161705"
"FREE STATE","12-17","Male","79375","33210","162847"
"GAUTENG","12-17","Female","217763","95596","649047"
"GAUTENG","12-17","Male","178891","73708","648920"
"KWAZULU-NATAL","12-17","Female","173500","73346","647510"
"KWAZULU-NATAL","12-17","Male","122005","47008","658202"
"LIMPOPO","12-17","Female","153172","52404","352420"
"LIMPOPO","12-17","Male","131989","38990","372427"
"MPUMALANGA","12-17","Female","79564","27059","257710"
"MPUMALANGA","12-17","Male","66280","19181","259479"
"NORTHERN CAPE","12-17","Female","19191","6618","69852"
"NORTHERN CAPE","12-17","Male","15310","4888","69047"
"NORTH WEST","12-17","Female","84515","30311","221385"
"NORTH WEST","12-17","Male","70329","22137","223092"
"WESTERN CAPE","12-17","Female","70990","28454","320269"
"WESTERN CAPE","12-17","Male","60742","23859","322848"
