"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913225"
"eastern cape","Pfizer","1328917"
"free state","Johnson & Johnson","485145"
"free state","Pfizer","669117"
"gauteng","Johnson & Johnson","1532996"
"gauteng","Pfizer","3890415"
"kwazulu-natal","Johnson & Johnson","1232001"
"kwazulu-natal","Pfizer","1965375"
"limpopo","Johnson & Johnson","1075292"
"limpopo","Pfizer","1035615"
"mpumalanga","Johnson & Johnson","818257"
"mpumalanga","Pfizer","566846"
"northern cape","Johnson & Johnson","213929"
"northern cape","Pfizer","224024"
"north west","Johnson & Johnson","710982"
"north west","Pfizer","618816"
"western cape","Johnson & Johnson","747164"
"western cape","Pfizer","2112830"
