"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","391216","839479"
"EASTERN CAPE","18-34","Male","294374","854468"
"EASTERN CAPE","35-49","Female","368917","586430"
"EASTERN CAPE","35-49","Male","250515","522727"
"EASTERN CAPE","50-59","Female","235925","320585"
"EASTERN CAPE","50-59","Male","148552","196960"
"EASTERN CAPE","60+","Female","363061","517296"
"EASTERN CAPE","60+","Male","218055","261598"
"EASTERN CAPE","Unidentified","Female","303",""
"EASTERN CAPE","Unidentified","Male","81",""
"FREE STATE","18-34","Female","230372","410210"
"FREE STATE","18-34","Male","175410","419145"
"FREE STATE","35-49","Female","193621","283918"
"FREE STATE","35-49","Male","159561","266941"
"FREE STATE","50-59","Female","105055","140470"
"FREE STATE","50-59","Male","81712","105617"
"FREE STATE","60+","Female","136422","178195"
"FREE STATE","60+","Male","85896","110025"
"FREE STATE","Unidentified","Female","87",""
"FREE STATE","Unidentified","Male","49",""
"GAUTENG","18-34","Female","986184","2584852"
"GAUTENG","18-34","Male","842231","2611302"
"GAUTENG","35-49","Female","996399","1659380"
"GAUTENG","35-49","Male","931754","1782603"
"GAUTENG","50-59","Female","440640","675158"
"GAUTENG","50-59","Male","420968","655342"
"GAUTENG","60+","Female","491546","745260"
"GAUTENG","60+","Male","376189","597429"
"GAUTENG","Unidentified","Female","299",""
"GAUTENG","Unidentified","Male","177",""
"KWAZULU-NATAL","18-34","Female","634157","1707989"
"KWAZULU-NATAL","18-34","Male","435420","1725158"
"KWAZULU-NATAL","35-49","Female","571651","1071255"
"KWAZULU-NATAL","35-49","Male","411155","951364"
"KWAZULU-NATAL","50-59","Female","300251","492136"
"KWAZULU-NATAL","50-59","Male","201980","316845"
"KWAZULU-NATAL","60+","Female","442185","624115"
"KWAZULU-NATAL","60+","Male","251060","330933"
"KWAZULU-NATAL","Unidentified","Female","366",""
"KWAZULU-NATAL","Unidentified","Male","139",""
"LIMPOPO","18-34","Female","427174","818804"
"LIMPOPO","18-34","Male","290022","833104"
"LIMPOPO","35-49","Female","374343","573264"
"LIMPOPO","35-49","Male","247444","493423"
"LIMPOPO","50-59","Female","198906","265501"
"LIMPOPO","50-59","Male","133299","165831"
"LIMPOPO","60+","Female","293505","372555"
"LIMPOPO","60+","Male","169410","173319"
"LIMPOPO","Unidentified","Female","611",""
"LIMPOPO","Unidentified","Male","88",""
"MPUMALANGA","18-34","Female","273153","681710"
"MPUMALANGA","18-34","Male","232471","729028"
"MPUMALANGA","35-49","Female","238994","451254"
"MPUMALANGA","35-49","Male","210871","457785"
"MPUMALANGA","50-59","Female","117213","197794"
"MPUMALANGA","50-59","Male","95082","151183"
"MPUMALANGA","60+","Female","142501","224305"
"MPUMALANGA","60+","Male","102871","146461"
"MPUMALANGA","Unidentified","Female","155",""
"MPUMALANGA","Unidentified","Male","55",""
"NORTHERN CAPE","18-34","Female","77938","174695"
"NORTHERN CAPE","18-34","Male","73679","182300"
"NORTHERN CAPE","35-49","Female","69136","118328"
"NORTHERN CAPE","35-49","Male","72899","131923"
"NORTHERN CAPE","50-59","Female","37156","57823"
"NORTHERN CAPE","50-59","Male","34558","49198"
"NORTHERN CAPE","60+","Female","45426","80820"
"NORTHERN CAPE","60+","Male","33813","52458"
"NORTHERN CAPE","Unidentified","Female","16",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","242447","547199"
"NORTH WEST","18-34","Male","200317","611287"
"NORTH WEST","35-49","Female","215554","386831"
"NORTH WEST","35-49","Male","215502","437698"
"NORTH WEST","50-59","Female","109184","173790"
"NORTH WEST","50-59","Male","108480","168889"
"NORTH WEST","60+","Female","142694","213393"
"NORTH WEST","60+","Male","107742","154160"
"NORTH WEST","Unidentified","Female","124",""
"NORTH WEST","Unidentified","Male","111",""
"WESTERN CAPE","18-34","Female","522501","1010156"
"WESTERN CAPE","18-34","Male","454231","1047625"
"WESTERN CAPE","35-49","Female","476178","744325"
"WESTERN CAPE","35-49","Male","418951","767488"
"WESTERN CAPE","50-59","Female","244072","368383"
"WESTERN CAPE","50-59","Male","211431","315766"
"WESTERN CAPE","60+","Female","318298","422288"
"WESTERN CAPE","60+","Male","236591","300872"
"WESTERN CAPE","Unidentified","Female","118",""
"WESTERN CAPE","Unidentified","Male","73",""
