"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920282"
"eastern cape","Pfizer","1350717"
"free state","Johnson & Johnson","488306"
"free state","Pfizer","679879"
"gauteng","Johnson & Johnson","1555595"
"gauteng","Pfizer","3930792"
"kwazulu-natal","Johnson & Johnson","1250654"
"kwazulu-natal","Pfizer","1997710"
"limpopo","Johnson & Johnson","1083445"
"limpopo","Pfizer","1051357"
"mpumalanga","Johnson & Johnson","833528"
"mpumalanga","Pfizer","579838"
"northern cape","Johnson & Johnson","216502"
"northern cape","Pfizer","228127"
"north west","Johnson & Johnson","715469"
"north west","Pfizer","626686"
"western cape","Johnson & Johnson","753880"
"western cape","Pfizer","2128564"
