"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154150","53343","416942"
"EASTERN CAPE","12-17","Male","125788","37499","429096"
"FREE STATE","12-17","Female","93282","43089","161705"
"FREE STATE","12-17","Male","79322","32294","162847"
"GAUTENG","12-17","Female","216376","92907","649047"
"GAUTENG","12-17","Male","177385","71407","648920"
"KWAZULU-NATAL","12-17","Female","169394","69190","647510"
"KWAZULU-NATAL","12-17","Male","118969","44261","658202"
"LIMPOPO","12-17","Female","148961","49495","352420"
"LIMPOPO","12-17","Male","126261","36724","372427"
"MPUMALANGA","12-17","Female","78493","25573","257710"
"MPUMALANGA","12-17","Male","65310","18309","259479"
"NORTHERN CAPE","12-17","Female","18615","6174","69852"
"NORTHERN CAPE","12-17","Male","14917","4607","69047"
"NORTH WEST","12-17","Female","84325","29600","221385"
"NORTH WEST","12-17","Male","70071","21486","223092"
"WESTERN CAPE","12-17","Female","70846","27823","320269"
"WESTERN CAPE","12-17","Male","60455","23220","322848"
