"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","907733"
"eastern cape","Pfizer","1320779"
"free state","Johnson & Johnson","482686"
"free state","Pfizer","665092"
"gauteng","Johnson & Johnson","1519812"
"gauteng","Pfizer","3870846"
"kwazulu-natal","Johnson & Johnson","1221323"
"kwazulu-natal","Pfizer","1948839"
"limpopo","Johnson & Johnson","1070532"
"limpopo","Pfizer","1028993"
"mpumalanga","Johnson & Johnson","808598"
"mpumalanga","Pfizer","561830"
"northern cape","Johnson & Johnson","212620"
"northern cape","Pfizer","221983"
"north west","Johnson & Johnson","707824"
"north west","Pfizer","614791"
"western cape","Johnson & Johnson","743458"
"western cape","Pfizer","2106557"
