"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","896225"
"eastern cape","Pfizer","1307889"
"free state","Johnson & Johnson","477243"
"free state","Pfizer","657493"
"gauteng","Johnson & Johnson","1493101"
"gauteng","Pfizer","3834001"
"kwazulu-natal","Johnson & Johnson","1199891"
"kwazulu-natal","Pfizer","1917647"
"limpopo","Johnson & Johnson","1057103"
"limpopo","Pfizer","1017993"
"mpumalanga","Johnson & Johnson","792595"
"mpumalanga","Pfizer","553751"
"northern cape","Johnson & Johnson","210098"
"northern cape","Pfizer","219016"
"north west","Johnson & Johnson","700453"
"north west","Pfizer","607969"
"western cape","Johnson & Johnson","735352"
"western cape","Pfizer","2093108"
