"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","140791","40361","416942"
"EASTERN CAPE","12-17","Male","113591","27434","429096"
"FREE STATE","12-17","Female","88729","37676","161705"
"FREE STATE","12-17","Male","75234","27656","162847"
"GAUTENG","12-17","Female","206260","83501","649047"
"GAUTENG","12-17","Male","169211","64248","648920"
"KWAZULU-NATAL","12-17","Female","147405","53140","647510"
"KWAZULU-NATAL","12-17","Male","103885","34196","658202"
"LIMPOPO","12-17","Female","132578","40063","352420"
"LIMPOPO","12-17","Male","110786","29761","372427"
"MPUMALANGA","12-17","Female","72078","20249","257710"
"MPUMALANGA","12-17","Male","60389","14738","259479"
"NORTHERN CAPE","12-17","Female","15315","4737","69852"
"NORTHERN CAPE","12-17","Male","12373","3558","69047"
"NORTH WEST","12-17","Female","80477","25511","221385"
"NORTH WEST","12-17","Male","66687","18455","223092"
"WESTERN CAPE","12-17","Female","70487","26832","320269"
"WESTERN CAPE","12-17","Male","59947","22309","322848"
