"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","885778"
"eastern cape","Pfizer","1297659"
"free state","Johnson & Johnson","471826"
"free state","Pfizer","650938"
"gauteng","Johnson & Johnson","1469940"
"gauteng","Pfizer","3801146"
"kwazulu-natal","Johnson & Johnson","1184624"
"kwazulu-natal","Pfizer","1896935"
"limpopo","Johnson & Johnson","1046042"
"limpopo","Pfizer","1009174"
"mpumalanga","Johnson & Johnson","779199"
"mpumalanga","Pfizer","547261"
"northern cape","Johnson & Johnson","208159"
"northern cape","Pfizer","216771"
"north west","Johnson & Johnson","692479"
"north west","Pfizer","602240"
"western cape","Johnson & Johnson","728580"
"western cape","Pfizer","2082169"
