"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","368015","839479"
"EASTERN CAPE","18-34","Male","273469","854468"
"EASTERN CAPE","35-49","Female","360259","586430"
"EASTERN CAPE","35-49","Male","242265","522727"
"EASTERN CAPE","50-59","Female","232299","320585"
"EASTERN CAPE","50-59","Male","145044","196960"
"EASTERN CAPE","60+","Female","351042","517296"
"EASTERN CAPE","60+","Male","210621","261598"
"EASTERN CAPE","Unidentified","Female","322",""
"EASTERN CAPE","Unidentified","Male","101",""
"FREE STATE","18-34","Female","219389","410210"
"FREE STATE","18-34","Male","165807","419145"
"FREE STATE","35-49","Female","187874","283918"
"FREE STATE","35-49","Male","153945","266941"
"FREE STATE","50-59","Female","102806","140470"
"FREE STATE","50-59","Male","79412","105617"
"FREE STATE","60+","Female","131233","178195"
"FREE STATE","60+","Male","82130","110025"
"FREE STATE","Unidentified","Female","98",""
"FREE STATE","Unidentified","Male","70",""
"GAUTENG","18-34","Female","947369","2584852"
"GAUTENG","18-34","Male","799336","2611302"
"GAUTENG","35-49","Female","963470","1659380"
"GAUTENG","35-49","Male","896386","1782603"
"GAUTENG","50-59","Female","427061","675158"
"GAUTENG","50-59","Male","404575","655342"
"GAUTENG","60+","Female","472615","745260"
"GAUTENG","60+","Male","359759","597429"
"GAUTENG","Unidentified","Female","316",""
"GAUTENG","Unidentified","Male","199",""
"KWAZULU-NATAL","18-34","Female","581637","1707989"
"KWAZULU-NATAL","18-34","Male","401476","1725158"
"KWAZULU-NATAL","35-49","Female","548177","1071255"
"KWAZULU-NATAL","35-49","Male","392056","951364"
"KWAZULU-NATAL","50-59","Female","292685","492136"
"KWAZULU-NATAL","50-59","Male","195343","316845"
"KWAZULU-NATAL","60+","Female","427733","624115"
"KWAZULU-NATAL","60+","Male","241916","330933"
"KWAZULU-NATAL","Unidentified","Female","390",""
"KWAZULU-NATAL","Unidentified","Male","146",""
"LIMPOPO","18-34","Female","407755","818804"
"LIMPOPO","18-34","Male","272010","833104"
"LIMPOPO","35-49","Female","363674","573264"
"LIMPOPO","35-49","Male","238381","493423"
"LIMPOPO","50-59","Female","195053","265501"
"LIMPOPO","50-59","Male","130300","165831"
"LIMPOPO","60+","Female","284174","372555"
"LIMPOPO","60+","Male","163115","173319"
"LIMPOPO","Unidentified","Female","650",""
"LIMPOPO","Unidentified","Male","104",""
"MPUMALANGA","18-34","Female","254707","681710"
"MPUMALANGA","18-34","Male","210317","729028"
"MPUMALANGA","35-49","Female","227065","451254"
"MPUMALANGA","35-49","Male","195922","457785"
"MPUMALANGA","50-59","Female","112798","197794"
"MPUMALANGA","50-59","Male","90865","151183"
"MPUMALANGA","60+","Female","136557","224305"
"MPUMALANGA","60+","Male","97987","146461"
"MPUMALANGA","Unidentified","Female","167",""
"MPUMALANGA","Unidentified","Male","75",""
"NORTHERN CAPE","18-34","Female","73688","174695"
"NORTHERN CAPE","18-34","Male","69943","182300"
"NORTHERN CAPE","35-49","Female","66636","118328"
"NORTHERN CAPE","35-49","Male","70018","131923"
"NORTHERN CAPE","50-59","Female","36026","57823"
"NORTHERN CAPE","50-59","Male","33229","49198"
"NORTHERN CAPE","60+","Female","43287","80820"
"NORTHERN CAPE","60+","Male","32069","52458"
"NORTHERN CAPE","Unidentified","Female","24",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","233435","547199"
"NORTH WEST","18-34","Male","191610","611287"
"NORTH WEST","35-49","Female","208982","386831"
"NORTH WEST","35-49","Male","208690","437698"
"NORTH WEST","50-59","Female","106591","173790"
"NORTH WEST","50-59","Male","105203","168889"
"NORTH WEST","60+","Female","137151","213393"
"NORTH WEST","60+","Male","102805","154160"
"NORTH WEST","Unidentified","Female","133",""
"NORTH WEST","Unidentified","Male","119",""
"WESTERN CAPE","18-34","Female","511788","1010156"
"WESTERN CAPE","18-34","Male","440407","1047625"
"WESTERN CAPE","35-49","Female","466786","744325"
"WESTERN CAPE","35-49","Male","408683","767488"
"WESTERN CAPE","50-59","Female","239503","368383"
"WESTERN CAPE","50-59","Male","206499","315766"
"WESTERN CAPE","60+","Female","308415","422288"
"WESTERN CAPE","60+","Male","228456","300872"
"WESTERN CAPE","Unidentified","Female","130",""
"WESTERN CAPE","Unidentified","Male","82",""
