"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","126861","29138","416942"
"EASTERN CAPE","12-17","Male","102056","19716","429096"
"FREE STATE","12-17","Female","84510","32400","161705"
"FREE STATE","12-17","Male","71222","23516","162847"
"GAUTENG","12-17","Female","198574","72316","649047"
"GAUTENG","12-17","Male","162974","56309","648920"
"KWAZULU-NATAL","12-17","Female","134558","39358","647510"
"KWAZULU-NATAL","12-17","Male","94976","26384","658202"
"LIMPOPO","12-17","Female","122281","33858","352420"
"LIMPOPO","12-17","Male","102042","25401","372427"
"MPUMALANGA","12-17","Female","65749","16373","257710"
"MPUMALANGA","12-17","Male","55293","12088","259479"
"NORTHERN CAPE","12-17","Female","13134","4217","69852"
"NORTHERN CAPE","12-17","Male","10732","3150","69047"
"NORTH WEST","12-17","Female","76408","21116","221385"
"NORTH WEST","12-17","Male","63777","15448","223092"
"WESTERN CAPE","12-17","Female","70272","25894","320269"
"WESTERN CAPE","12-17","Male","59520","21402","322848"
