"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914952"
"eastern cape","Pfizer","1333810"
"free state","Johnson & Johnson","486150"
"free state","Pfizer","671485"
"gauteng","Johnson & Johnson","1538683"
"gauteng","Pfizer","3899727"
"kwazulu-natal","Johnson & Johnson","1236998"
"kwazulu-natal","Pfizer","1973430"
"limpopo","Johnson & Johnson","1076790"
"limpopo","Pfizer","1038872"
"mpumalanga","Johnson & Johnson","822879"
"mpumalanga","Pfizer","569867"
"northern cape","Johnson & Johnson","214918"
"northern cape","Pfizer","225342"
"north west","Johnson & Johnson","712191"
"north west","Pfizer","620699"
"western cape","Johnson & Johnson","748777"
"western cape","Pfizer","2116272"
