"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154377","56010","416942"
"EASTERN CAPE","12-17","Male","126842","39538","429096"
"FREE STATE","12-17","Female","92946","44483","161705"
"FREE STATE","12-17","Male","79115","33316","162847"
"GAUTENG","12-17","Female","217094","96081","649047"
"GAUTENG","12-17","Male","178384","74136","648920"
"KWAZULU-NATAL","12-17","Female","173405","74028","647510"
"KWAZULU-NATAL","12-17","Male","121878","47377","658202"
"LIMPOPO","12-17","Female","152786","52762","352420"
"LIMPOPO","12-17","Male","131658","39246","372427"
"MPUMALANGA","12-17","Female","79514","27206","257710"
"MPUMALANGA","12-17","Male","66213","19295","259479"
"NORTHERN CAPE","12-17","Female","19280","6808","69852"
"NORTHERN CAPE","12-17","Male","15379","5024","69047"
"NORTH WEST","12-17","Female","84182","30318","221385"
"NORTH WEST","12-17","Male","70129","22212","223092"
"WESTERN CAPE","12-17","Female","70640","28593","320269"
"WESTERN CAPE","12-17","Male","60542","24001","322848"
