"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","925195"
"eastern cape","Pfizer","1370257"
"free state","Johnson & Johnson","489566"
"free state","Pfizer","687444"
"gauteng","Johnson & Johnson","1574909"
"gauteng","Pfizer","3959296"
"kwazulu-natal","Johnson & Johnson","1260180"
"kwazulu-natal","Pfizer","2016846"
"limpopo","Johnson & Johnson","1091802"
"limpopo","Pfizer","1066205"
"mpumalanga","Johnson & Johnson","840441"
"mpumalanga","Pfizer","588551"
"northern cape","Johnson & Johnson","218336"
"northern cape","Pfizer","230781"
"north west","Johnson & Johnson","719805"
"north west","Pfizer","634035"
"western cape","Johnson & Johnson","759164"
"western cape","Pfizer","2139696"
