"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","909648"
"eastern cape","Pfizer","1323505"
"free state","Johnson & Johnson","483500"
"free state","Pfizer","666484"
"gauteng","Johnson & Johnson","1524707"
"gauteng","Pfizer","3878093"
"kwazulu-natal","Johnson & Johnson","1225439"
"kwazulu-natal","Pfizer","1954988"
"limpopo","Johnson & Johnson","1072544"
"limpopo","Pfizer","1031593"
"mpumalanga","Johnson & Johnson","812221"
"mpumalanga","Pfizer","563747"
"northern cape","Johnson & Johnson","213020"
"northern cape","Pfizer","222595"
"north west","Johnson & Johnson","709180"
"north west","Pfizer","616270"
"western cape","Johnson & Johnson","744786"
"western cape","Pfizer","2108848"
