"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154859","54781","416942"
"EASTERN CAPE","12-17","Male","126716","38584","429096"
"FREE STATE","12-17","Female","93323","43502","161705"
"FREE STATE","12-17","Male","79341","32553","162847"
"GAUTENG","12-17","Female","217166","94040","649047"
"GAUTENG","12-17","Male","178213","72408","648920"
"KWAZULU-NATAL","12-17","Female","171619","71143","647510"
"KWAZULU-NATAL","12-17","Male","120607","45574","658202"
"LIMPOPO","12-17","Female","151444","50573","352420"
"LIMPOPO","12-17","Male","130361","37799","372427"
"MPUMALANGA","12-17","Female","79126","26237","257710"
"MPUMALANGA","12-17","Male","66002","18724","259479"
"NORTHERN CAPE","12-17","Female","19029","6399","69852"
"NORTHERN CAPE","12-17","Male","15209","4755","69047"
"NORTH WEST","12-17","Female","84485","29901","221385"
"NORTH WEST","12-17","Male","70264","21730","223092"
"WESTERN CAPE","12-17","Female","70897","28025","320269"
"WESTERN CAPE","12-17","Male","60608","23483","322848"
