"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158446","63579","416942"
"EASTERN CAPE","12-17","Male","130935","46169","429096"
"FREE STATE","12-17","Female","92585","45478","161705"
"FREE STATE","12-17","Male","78957","34277","162847"
"GAUTENG","12-17","Female","214377","96132","649047"
"GAUTENG","12-17","Male","176363","74439","648920"
"KWAZULU-NATAL","12-17","Female","174432","81113","647510"
"KWAZULU-NATAL","12-17","Male","122697","51509","658202"
"LIMPOPO","12-17","Female","156273","55737","352420"
"LIMPOPO","12-17","Male","133911","41365","372427"
"MPUMALANGA","12-17","Female","81052","29554","257710"
"MPUMALANGA","12-17","Male","66956","20744","259479"
"NORTHERN CAPE","12-17","Female","20239","8248","69852"
"NORTHERN CAPE","12-17","Male","16178","6083","69047"
"NORTH WEST","12-17","Female","83160","30386","221385"
"NORTH WEST","12-17","Male","69367","22460","223092"
"WESTERN CAPE","12-17","Female","71339","29142","320269"
"WESTERN CAPE","12-17","Male","61274","24499","322848"
