"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919142"
"eastern cape","Pfizer","1345620"
"free state","Johnson & Johnson","487802"
"free state","Pfizer","677654"
"gauteng","Johnson & Johnson","1551281"
"gauteng","Pfizer","3922486"
"kwazulu-natal","Johnson & Johnson","1248382"
"kwazulu-natal","Pfizer","1992077"
"limpopo","Johnson & Johnson","1081842"
"limpopo","Pfizer","1047811"
"mpumalanga","Johnson & Johnson","831715"
"mpumalanga","Pfizer","577340"
"northern cape","Johnson & Johnson","216304"
"northern cape","Pfizer","227518"
"north west","Johnson & Johnson","714644"
"north west","Pfizer","625089"
"western cape","Johnson & Johnson","752517"
"western cape","Pfizer","2125423"
