"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919710"
"eastern cape","Pfizer","1348267"
"free state","Johnson & Johnson","488058"
"free state","Pfizer","678840"
"gauteng","Johnson & Johnson","1553561"
"gauteng","Pfizer","3927189"
"kwazulu-natal","Johnson & Johnson","1249500"
"kwazulu-natal","Pfizer","1994895"
"limpopo","Johnson & Johnson","1082731"
"limpopo","Pfizer","1049689"
"mpumalanga","Johnson & Johnson","832740"
"mpumalanga","Pfizer","578646"
"northern cape","Johnson & Johnson","216403"
"northern cape","Pfizer","227833"
"north west","Johnson & Johnson","715070"
"north west","Pfizer","625914"
"western cape","Johnson & Johnson","753188"
"western cape","Pfizer","2126991"
