"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159322","65505","416942"
"EASTERN CAPE","12-17","Male","131810","47879","429096"
"FREE STATE","12-17","Female","92393","45567","161705"
"FREE STATE","12-17","Male","78862","34392","162847"
"GAUTENG","12-17","Female","213809","96128","649047"
"GAUTENG","12-17","Male","175954","74529","648920"
"KWAZULU-NATAL","12-17","Female","173990","81619","647510"
"KWAZULU-NATAL","12-17","Male","122501","51988","658202"
"LIMPOPO","12-17","Female","156500","56517","352420"
"LIMPOPO","12-17","Male","134096","41945","372427"
"MPUMALANGA","12-17","Female","81165","30291","257710"
"MPUMALANGA","12-17","Male","67046","21218","259479"
"NORTHERN CAPE","12-17","Female","20194","8358","69852"
"NORTHERN CAPE","12-17","Male","16173","6190","69047"
"NORTH WEST","12-17","Female","82858","30334","221385"
"NORTH WEST","12-17","Male","69146","22452","223092"
"WESTERN CAPE","12-17","Female","71425","29356","320269"
"WESTERN CAPE","12-17","Male","61360","24683","322848"
