"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920909"
"eastern cape","Pfizer","1353902"
"free state","Johnson & Johnson","488586"
"free state","Pfizer","681508"
"gauteng","Johnson & Johnson","1558515"
"gauteng","Pfizer","3935918"
"kwazulu-natal","Johnson & Johnson","1252346"
"kwazulu-natal","Pfizer","2001578"
"limpopo","Johnson & Johnson","1084606"
"limpopo","Pfizer","1053890"
"mpumalanga","Johnson & Johnson","834771"
"mpumalanga","Pfizer","581416"
"northern cape","Johnson & Johnson","216803"
"northern cape","Pfizer","228616"
"north west","Johnson & Johnson","716056"
"north west","Pfizer","627951"
"western cape","Johnson & Johnson","754814"
"western cape","Pfizer","2130563"
