"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","391858","839479"
"EASTERN CAPE","18-34","Male","295042","854468"
"EASTERN CAPE","35-49","Female","369159","586430"
"EASTERN CAPE","35-49","Male","250847","522727"
"EASTERN CAPE","50-59","Female","236224","320585"
"EASTERN CAPE","50-59","Male","148811","196960"
"EASTERN CAPE","60+","Female","363989","517296"
"EASTERN CAPE","60+","Male","218498","261598"
"EASTERN CAPE","Unidentified","Female","303",""
"EASTERN CAPE","Unidentified","Male","80",""
"FREE STATE","18-34","Female","230706","410210"
"FREE STATE","18-34","Male","175639","419145"
"FREE STATE","35-49","Female","193845","283918"
"FREE STATE","35-49","Male","159787","266941"
"FREE STATE","50-59","Female","105170","140470"
"FREE STATE","50-59","Male","81840","105617"
"FREE STATE","60+","Female","136838","178195"
"FREE STATE","60+","Male","86135","110025"
"FREE STATE","Unidentified","Female","86",""
"FREE STATE","Unidentified","Male","48",""
"GAUTENG","18-34","Female","986246","2584852"
"GAUTENG","18-34","Male","842336","2611302"
"GAUTENG","35-49","Female","998055","1659380"
"GAUTENG","35-49","Male","933304","1782603"
"GAUTENG","50-59","Female","441536","675158"
"GAUTENG","50-59","Male","421927","655342"
"GAUTENG","60+","Female","493076","745260"
"GAUTENG","60+","Male","377483","597429"
"GAUTENG","Unidentified","Female","296",""
"GAUTENG","Unidentified","Male","174",""
"KWAZULU-NATAL","18-34","Female","634973","1707989"
"KWAZULU-NATAL","18-34","Male","435975","1725158"
"KWAZULU-NATAL","35-49","Female","572646","1071255"
"KWAZULU-NATAL","35-49","Male","411949","951364"
"KWAZULU-NATAL","50-59","Female","300576","492136"
"KWAZULU-NATAL","50-59","Male","202269","316845"
"KWAZULU-NATAL","60+","Female","443317","624115"
"KWAZULU-NATAL","60+","Male","251715","330933"
"KWAZULU-NATAL","Unidentified","Female","365",""
"KWAZULU-NATAL","Unidentified","Male","139",""
"LIMPOPO","18-34","Female","427634","818804"
"LIMPOPO","18-34","Male","290573","833104"
"LIMPOPO","35-49","Female","375029","573264"
"LIMPOPO","35-49","Male","247975","493423"
"LIMPOPO","50-59","Female","199186","265501"
"LIMPOPO","50-59","Male","133460","165831"
"LIMPOPO","60+","Female","294147","372555"
"LIMPOPO","60+","Male","169796","173319"
"LIMPOPO","Unidentified","Female","609",""
"LIMPOPO","Unidentified","Male","87",""
"MPUMALANGA","18-34","Female","273438","681710"
"MPUMALANGA","18-34","Male","232895","729028"
"MPUMALANGA","35-49","Female","239471","451254"
"MPUMALANGA","35-49","Male","211438","457785"
"MPUMALANGA","50-59","Female","117428","197794"
"MPUMALANGA","50-59","Male","95245","151183"
"MPUMALANGA","60+","Female","142914","224305"
"MPUMALANGA","60+","Male","103149","146461"
"MPUMALANGA","Unidentified","Female","156",""
"MPUMALANGA","Unidentified","Male","53",""
"NORTHERN CAPE","18-34","Female","78028","174695"
"NORTHERN CAPE","18-34","Male","73724","182300"
"NORTHERN CAPE","35-49","Female","69236","118328"
"NORTHERN CAPE","35-49","Male","73057","131923"
"NORTHERN CAPE","50-59","Female","37219","57823"
"NORTHERN CAPE","50-59","Male","34601","49198"
"NORTHERN CAPE","60+","Female","45582","80820"
"NORTHERN CAPE","60+","Male","33949","52458"
"NORTHERN CAPE","Unidentified","Female","15",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","242622","547199"
"NORTH WEST","18-34","Male","200406","611287"
"NORTH WEST","35-49","Female","215760","386831"
"NORTH WEST","35-49","Male","215761","437698"
"NORTH WEST","50-59","Female","109341","173790"
"NORTH WEST","50-59","Male","108642","168889"
"NORTH WEST","60+","Female","143130","213393"
"NORTH WEST","60+","Male","108109","154160"
"NORTH WEST","Unidentified","Female","125",""
"NORTH WEST","Unidentified","Male","111",""
"WESTERN CAPE","18-34","Female","522344","1010156"
"WESTERN CAPE","18-34","Male","454096","1047625"
"WESTERN CAPE","35-49","Female","476602","744325"
"WESTERN CAPE","35-49","Male","419446","767488"
"WESTERN CAPE","50-59","Female","244431","368383"
"WESTERN CAPE","50-59","Male","211780","315766"
"WESTERN CAPE","60+","Female","319195","422288"
"WESTERN CAPE","60+","Male","237295","300872"
"WESTERN CAPE","Unidentified","Female","116",""
"WESTERN CAPE","Unidentified","Male","72",""
