"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14532","5447","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12363","4480","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19221","10664","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15226","7542","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8491","3079","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7504","2410","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11177","6459","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9435","4829","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13642","5360","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11210","3925","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17796","6739","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15048","4818","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26386","15797","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23332","12653","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4251","1195","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3479","815","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51407","21802","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42136","16773","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15294","6886","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12236","5211","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19594","10299","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16067","7807","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6719","2891","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4389","1796","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26141","12410","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22710","10559","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13298","7910","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10466","5747","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8836","4452","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5379","2483","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12651","5162","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8309","3164","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13227","5695","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8682","3194","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14140","5781","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10239","3826","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20430","10307","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12954","5424","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14871","6329","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9161","3447","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15473","6973","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10444","4098","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24087","12817","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17329","8112","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37044","15513","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31768","11724","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37353","13070","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30783","9450","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26359","10037","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25842","8432","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38176","12733","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30937","8788","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17782","7011","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14900","5191","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","48029","19901","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36785","13128","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17089","6604","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17710","5552","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7606","3724","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6327","2817","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1715","668","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1380","504","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3601","1594","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2751","1143","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32278","13469","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26781","9941","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21384","7501","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17824","5479","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9352","4124","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8191","3413","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","814","383","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","629","280","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6301","2571","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5340","1972","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3021","1006","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2387","779","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4181","1890","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3650","1438","22568"
