"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923548"
"eastern cape","Pfizer","1365396"
"free state","Johnson & Johnson","489324"
"free state","Pfizer","685863"
"gauteng","Johnson & Johnson","1569985"
"gauteng","Pfizer","3952649"
"kwazulu-natal","Johnson & Johnson","1258124"
"kwazulu-natal","Pfizer","2013198"
"limpopo","Johnson & Johnson","1090381"
"limpopo","Pfizer","1062908"
"mpumalanga","Johnson & Johnson","839158"
"mpumalanga","Pfizer","586980"
"northern cape","Johnson & Johnson","218002"
"northern cape","Pfizer","230115"
"north west","Johnson & Johnson","718613"
"north west","Pfizer","632138"
"western cape","Johnson & Johnson","757934"
"western cape","Pfizer","2137357"
