"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924988"
"eastern cape","Pfizer","1369595"
"free state","Johnson & Johnson","489550"
"free state","Pfizer","687197"
"gauteng","Johnson & Johnson","1574399"
"gauteng","Pfizer","3958411"
"kwazulu-natal","Johnson & Johnson","1259944"
"kwazulu-natal","Pfizer","2016340"
"limpopo","Johnson & Johnson","1091687"
"limpopo","Pfizer","1065829"
"mpumalanga","Johnson & Johnson","840338"
"mpumalanga","Pfizer","588318"
"northern cape","Johnson & Johnson","218306"
"northern cape","Pfizer","230704"
"north west","Johnson & Johnson","719683"
"north west","Pfizer","633790"
"western cape","Johnson & Johnson","759065"
"western cape","Pfizer","2139422"
