"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159226","65134","416942"
"EASTERN CAPE","12-17","Male","131686","47597","429096"
"FREE STATE","12-17","Female","92419","45551","161705"
"FREE STATE","12-17","Male","78894","34372","162847"
"GAUTENG","12-17","Female","213855","96152","649047"
"GAUTENG","12-17","Male","175976","74529","648920"
"KWAZULU-NATAL","12-17","Female","174061","81508","647510"
"KWAZULU-NATAL","12-17","Male","122525","51893","658202"
"LIMPOPO","12-17","Female","156477","56371","352420"
"LIMPOPO","12-17","Male","134083","41826","372427"
"MPUMALANGA","12-17","Female","81179","30210","257710"
"MPUMALANGA","12-17","Male","67036","21158","259479"
"NORTHERN CAPE","12-17","Female","20190","8349","69852"
"NORTHERN CAPE","12-17","Male","16171","6184","69047"
"NORTH WEST","12-17","Female","82886","30338","221385"
"NORTH WEST","12-17","Male","69170","22453","223092"
"WESTERN CAPE","12-17","Female","71426","29333","320269"
"WESTERN CAPE","12-17","Male","61366","24672","322848"
