"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919637"
"eastern cape","Pfizer","1347915"
"free state","Johnson & Johnson","488027"
"free state","Pfizer","678678"
"gauteng","Johnson & Johnson","1553250"
"gauteng","Pfizer","3926638"
"kwazulu-natal","Johnson & Johnson","1249356"
"kwazulu-natal","Pfizer","1994512"
"limpopo","Johnson & Johnson","1082622"
"limpopo","Pfizer","1049435"
"mpumalanga","Johnson & Johnson","832566"
"mpumalanga","Pfizer","578492"
"northern cape","Johnson & Johnson","216380"
"northern cape","Pfizer","227801"
"north west","Johnson & Johnson","715000"
"north west","Pfizer","625828"
"western cape","Johnson & Johnson","753091"
"western cape","Pfizer","2126801"
