"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","396786","839479"
"EASTERN CAPE","18-34","Male","303218","854468"
"EASTERN CAPE","35-49","Female","370776","586430"
"EASTERN CAPE","35-49","Male","252912","522727"
"EASTERN CAPE","50-59","Female","237319","320585"
"EASTERN CAPE","50-59","Male","149588","196960"
"EASTERN CAPE","60+","Female","369594","517296"
"EASTERN CAPE","60+","Male","221950","261598"
"EASTERN CAPE","Unidentified","Female","292",""
"EASTERN CAPE","Unidentified","Male","66",""
"FREE STATE","18-34","Female","232147","410210"
"FREE STATE","18-34","Male","176643","419145"
"FREE STATE","35-49","Female","194714","283918"
"FREE STATE","35-49","Male","160584","266941"
"FREE STATE","50-59","Female","105635","140470"
"FREE STATE","50-59","Male","82371","105617"
"FREE STATE","60+","Female","139055","178195"
"FREE STATE","60+","Male","87679","110025"
"FREE STATE","Unidentified","Female","83",""
"FREE STATE","Unidentified","Male","46",""
"GAUTENG","18-34","Female","991227","2584852"
"GAUTENG","18-34","Male","847202","2611302"
"GAUTENG","35-49","Female","1006532","1659380"
"GAUTENG","35-49","Male","941323","1782603"
"GAUTENG","50-59","Female","446098","675158"
"GAUTENG","50-59","Male","426753","655342"
"GAUTENG","60+","Female","501595","745260"
"GAUTENG","60+","Male","384885","597429"
"GAUTENG","Unidentified","Female","270",""
"GAUTENG","Unidentified","Male","159",""
"KWAZULU-NATAL","18-34","Female","640253","1707989"
"KWAZULU-NATAL","18-34","Male","439037","1725158"
"KWAZULU-NATAL","35-49","Female","576122","1071255"
"KWAZULU-NATAL","35-49","Male","414765","951364"
"KWAZULU-NATAL","50-59","Female","302058","492136"
"KWAZULU-NATAL","50-59","Male","203800","316845"
"KWAZULU-NATAL","60+","Female","450094","624115"
"KWAZULU-NATAL","60+","Male","255840","330933"
"KWAZULU-NATAL","Unidentified","Female","352",""
"KWAZULU-NATAL","Unidentified","Male","129",""
"LIMPOPO","18-34","Female","432656","818804"
"LIMPOPO","18-34","Male","294796","833104"
"LIMPOPO","35-49","Female","378939","573264"
"LIMPOPO","35-49","Male","250791","493423"
"LIMPOPO","50-59","Female","200388","265501"
"LIMPOPO","50-59","Male","134187","165831"
"LIMPOPO","60+","Female","297861","372555"
"LIMPOPO","60+","Male","172272","173319"
"LIMPOPO","Unidentified","Female","604",""
"LIMPOPO","Unidentified","Male","85",""
"MPUMALANGA","18-34","Female","275930","681710"
"MPUMALANGA","18-34","Male","235140","729028"
"MPUMALANGA","35-49","Female","241821","451254"
"MPUMALANGA","35-49","Male","213980","457785"
"MPUMALANGA","50-59","Female","118486","197794"
"MPUMALANGA","50-59","Male","96089","151183"
"MPUMALANGA","60+","Female","145279","224305"
"MPUMALANGA","60+","Male","104982","146461"
"MPUMALANGA","Unidentified","Female","153",""
"MPUMALANGA","Unidentified","Male","50",""
"NORTHERN CAPE","18-34","Female","78667","174695"
"NORTHERN CAPE","18-34","Male","74204","182300"
"NORTHERN CAPE","35-49","Female","69737","118328"
"NORTHERN CAPE","35-49","Male","73748","131923"
"NORTHERN CAPE","50-59","Female","37482","57823"
"NORTHERN CAPE","50-59","Male","34959","49198"
"NORTHERN CAPE","60+","Female","46469","80820"
"NORTHERN CAPE","60+","Male","34647","52458"
"NORTHERN CAPE","Unidentified","Female","12",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","244225","547199"
"NORTH WEST","18-34","Male","202183","611287"
"NORTH WEST","35-49","Female","217318","386831"
"NORTH WEST","35-49","Male","217333","437698"
"NORTH WEST","50-59","Female","110278","173790"
"NORTH WEST","50-59","Male","109529","168889"
"NORTH WEST","60+","Female","145348","213393"
"NORTH WEST","60+","Male","110097","154160"
"NORTH WEST","Unidentified","Female","125",""
"NORTH WEST","Unidentified","Male","108",""
"WESTERN CAPE","18-34","Female","522277","1010156"
"WESTERN CAPE","18-34","Male","455070","1047625"
"WESTERN CAPE","35-49","Female","478930","744325"
"WESTERN CAPE","35-49","Male","421740","767488"
"WESTERN CAPE","50-59","Female","246019","368383"
"WESTERN CAPE","50-59","Male","213256","315766"
"WESTERN CAPE","60+","Female","324013","422288"
"WESTERN CAPE","60+","Male","241293","300872"
"WESTERN CAPE","Unidentified","Female","111",""
"WESTERN CAPE","Unidentified","Male","66",""
