"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926797"
"eastern cape","Pfizer","1375704"
"free state","Johnson & Johnson","489864"
"free state","Pfizer","689093"
"gauteng","Johnson & Johnson","1579835"
"gauteng","Pfizer","3966209"
"kwazulu-natal","Johnson & Johnson","1261943"
"kwazulu-natal","Pfizer","2020507"
"limpopo","Johnson & Johnson","1093076"
"limpopo","Pfizer","1069503"
"mpumalanga","Johnson & Johnson","841744"
"mpumalanga","Pfizer","590166"
"northern cape","Johnson & Johnson","218588"
"northern cape","Pfizer","231345"
"north west","Johnson & Johnson","720667"
"north west","Pfizer","635877"
"western cape","Johnson & Johnson","760504"
"western cape","Pfizer","2142271"
