"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","865924","0","157804","1023728"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465468","0","96436","561904"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1442212","0","218006","1660218"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1167433","0","186738","1354171"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1058882","0","162697","1221579"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","819755","0","134834","954589"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","209124","0","36004","245128"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","697182","0","119651","816833"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","665882","0","114774","780656"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137623","0","65389","203012"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94510","0","40023","134533"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34194","0","17016","51210"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21989","0","7152","29141"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23485","0","8966","32451"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94622","0","61527","156149"
"Pfizer","National","eastern cape","Adults","1375704","1156690","265075","2797469"
"Pfizer","National","eastern cape","12-17 Years","300439","127727","0","428166"
"Pfizer","National","free state","12-17 Years","166276","79878","0","246154"
"Pfizer","National","free state","Adults","689093","604716","147021","1440830"
"Pfizer","National","gauteng","12-17 Years","377457","167138","29","544624"
"Pfizer","National","gauteng","Adults","3966209","3435655","699411","8101275"
"Pfizer","National","kwazulu-natal","Adults","2020507","1679967","342875","4043349"
"Pfizer","National","kwazulu-natal","12-17 Years","286319","131382","13","417714"
"Pfizer","National","limpopo","Adults","1069503","895038","184184","2148725"
"Pfizer","National","limpopo","12-17 Years","290068","102001","2","392071"
"Pfizer","National","mpumalanga","12-17 Years","146874","55987","3","202864"
"Pfizer","National","mpumalanga","Adults","590166","485253","111315","1186734"
"Pfizer","National","northern cape","12-17 Years","37341","15965","0","53306"
"Pfizer","National","northern cape","Adults","231345","197262","37994","466601"
"Pfizer","National","north west","12-17 Years","147521","52280","4","199805"
"Pfizer","National","north west","Adults","635877","548172","117098","1301147"
"Pfizer","National","western cape","12-17 Years","128369","54431","3","182803"
"Pfizer","National","western cape","Adults","2142271","1880272","498998","4521541"
