"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926804"
"eastern cape","Pfizer","1376117"
"free state","Johnson & Johnson","489866"
"free state","Pfizer","689299"
"gauteng","Johnson & Johnson","1579885"
"gauteng","Pfizer","3966824"
"kwazulu-natal","Johnson & Johnson","1261977"
"kwazulu-natal","Pfizer","2020888"
"limpopo","Johnson & Johnson","1093084"
"limpopo","Pfizer","1069805"
"mpumalanga","Johnson & Johnson","841763"
"mpumalanga","Pfizer","590348"
"northern cape","Johnson & Johnson","218598"
"northern cape","Pfizer","231404"
"north west","Johnson & Johnson","720694"
"north west","Pfizer","636129"
"western cape","Johnson & Johnson","760528"
"western cape","Pfizer","2142502"
