"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","865931","0","157805","1023736"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465470","0","96450","561920"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1442262","0","218025","1660287"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1167467","0","186744","1354211"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1058890","0","162710","1221600"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","819774","0","134864","954638"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","209134","0","36005","245139"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","697209","0","119684","816893"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","665906","0","114782","780688"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137623","0","65389","203012"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94510","0","40023","134533"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34194","0","17016","51210"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21989","0","7152","29141"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23485","0","8966","32451"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94622","0","61527","156149"
"Pfizer","National","eastern cape","Adults","1376117","1156832","265083","2798032"
"Pfizer","National","eastern cape","12-17 Years","300044","127595","0","427639"
"Pfizer","National","free state","12-17 Years","166072","79803","0","245875"
"Pfizer","National","free state","Adults","689299","604797","147021","1441117"
"Pfizer","National","gauteng","12-17 Years","376938","166921","28","543887"
"Pfizer","National","gauteng","Adults","3966824","3435977","699456","8102257"
"Pfizer","National","kwazulu-natal","Adults","2020888","1680136","342880","4043904"
"Pfizer","National","kwazulu-natal","12-17 Years","285949","131220","13","417182"
"Pfizer","National","limpopo","Adults","1069805","895138","184185","2149128"
"Pfizer","National","limpopo","12-17 Years","289775","101903","2","391680"
"Pfizer","National","mpumalanga","12-17 Years","146698","55936","3","202637"
"Pfizer","National","mpumalanga","Adults","590348","485307","111333","1186988"
"Pfizer","National","northern cape","12-17 Years","37299","15951","0","53250"
"Pfizer","National","northern cape","Adults","231404","197280","37995","466679"
"Pfizer","National","north west","12-17 Years","147330","52223","4","199557"
"Pfizer","National","north west","Adults","636129","548259","117153","1301541"
"Pfizer","National","western cape","12-17 Years","128149","54352","3","182504"
"Pfizer","National","western cape","Adults","2142502","1880370","499048","4521920"
