"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156403","59973","416942"
"EASTERN CAPE","12-17","Male","128483","42868","429096"
"FREE STATE","12-17","Female","92895","45218","161705"
"FREE STATE","12-17","Male","79116","34067","162847"
"GAUTENG","12-17","Female","215977","96165","649047"
"GAUTENG","12-17","Male","177557","74383","648920"
"KWAZULU-NATAL","12-17","Female","174200","78600","647510"
"KWAZULU-NATAL","12-17","Male","122559","50168","658202"
"LIMPOPO","12-17","Female","154692","54230","352420"
"LIMPOPO","12-17","Male","132833","40266","372427"
"MPUMALANGA","12-17","Female","80520","28513","257710"
"MPUMALANGA","12-17","Male","66696","20005","259479"
"NORTHERN CAPE","12-17","Female","20075","7926","69852"
"NORTHERN CAPE","12-17","Male","16029","5838","69047"
"NORTH WEST","12-17","Female","83799","30438","221385"
"NORTH WEST","12-17","Male","69883","22397","223092"
"WESTERN CAPE","12-17","Female","70705","28749","320269"
"WESTERN CAPE","12-17","Male","60614","24156","322848"
