"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918061"
"eastern cape","Pfizer","1342183"
"free state","Johnson & Johnson","487403"
"free state","Pfizer","676028"
"gauteng","Johnson & Johnson","1548002"
"gauteng","Pfizer","3916188"
"kwazulu-natal","Johnson & Johnson","1246251"
"kwazulu-natal","Pfizer","1987333"
"limpopo","Johnson & Johnson","1080241"
"limpopo","Pfizer","1045137"
"mpumalanga","Johnson & Johnson","830131"
"mpumalanga","Pfizer","575678"
"northern cape","Johnson & Johnson","216099"
"northern cape","Pfizer","227069"
"north west","Johnson & Johnson","714010"
"north west","Pfizer","623914"
"western cape","Johnson & Johnson","751401"
"western cape","Pfizer","2122821"
