"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156350","60324","416942"
"EASTERN CAPE","12-17","Male","128539","43196","429096"
"FREE STATE","12-17","Female","92727","45199","161705"
"FREE STATE","12-17","Male","79013","34064","162847"
"GAUTENG","12-17","Female","215576","96098","649047"
"GAUTENG","12-17","Male","177290","74386","648920"
"KWAZULU-NATAL","12-17","Female","174055","78948","647510"
"KWAZULU-NATAL","12-17","Male","122497","50370","658202"
"LIMPOPO","12-17","Female","154715","54339","352420"
"LIMPOPO","12-17","Male","132828","40331","372427"
"MPUMALANGA","12-17","Female","80481","28550","257710"
"MPUMALANGA","12-17","Male","66678","20063","259479"
"NORTHERN CAPE","12-17","Female","20043","7947","69852"
"NORTHERN CAPE","12-17","Male","16026","5863","69047"
"NORTH WEST","12-17","Female","83646","30396","221385"
"NORTH WEST","12-17","Male","69776","22398","223092"
"WESTERN CAPE","12-17","Female","70614","28794","320269"
"WESTERN CAPE","12-17","Male","60573","24188","322848"
