"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","149766","47898","416942"
"EASTERN CAPE","12-17","Male","121849","32880","429096"
"FREE STATE","12-17","Female","91572","41364","161705"
"FREE STATE","12-17","Male","77574","30619","162847"
"GAUTENG","12-17","Female","212831","90034","649047"
"GAUTENG","12-17","Male","174573","69061","648920"
"KWAZULU-NATAL","12-17","Female","160461","62603","647510"
"KWAZULU-NATAL","12-17","Male","112523","39704","658202"
"LIMPOPO","12-17","Female","141071","45461","352420"
"LIMPOPO","12-17","Male","118466","33471","372427"
"MPUMALANGA","12-17","Female","75954","22918","257710"
"MPUMALANGA","12-17","Male","63276","16452","259479"
"NORTHERN CAPE","12-17","Female","17516","5472","69852"
"NORTHERN CAPE","12-17","Male","14059","4077","69047"
"NORTH WEST","12-17","Female","82851","28106","221385"
"NORTH WEST","12-17","Male","68677","20283","223092"
"WESTERN CAPE","12-17","Female","70630","27420","320269"
"WESTERN CAPE","12-17","Male","60164","22820","322848"
