"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","902980"
"eastern cape","Pfizer","1314808"
"free state","Johnson & Johnson","480252"
"free state","Pfizer","661833"
"gauteng","Johnson & Johnson","1507488"
"gauteng","Pfizer","3854445"
"kwazulu-natal","Johnson & Johnson","1213031"
"kwazulu-natal","Pfizer","1935726"
"limpopo","Johnson & Johnson","1064316"
"limpopo","Pfizer","1023732"
"mpumalanga","Johnson & Johnson","800924"
"mpumalanga","Pfizer","557907"
"northern cape","Johnson & Johnson","211405"
"northern cape","Pfizer","220536"
"north west","Johnson & Johnson","704577"
"north west","Pfizer","611749"
"western cape","Johnson & Johnson","739324"
"western cape","Pfizer","2100549"
