"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158197","62830","416942"
"EASTERN CAPE","12-17","Male","130703","45653","429096"
"FREE STATE","12-17","Female","92685","45347","161705"
"FREE STATE","12-17","Male","79009","34236","162847"
"GAUTENG","12-17","Female","214868","96120","649047"
"GAUTENG","12-17","Male","176754","74427","648920"
"KWAZULU-NATAL","12-17","Female","174526","80509","647510"
"KWAZULU-NATAL","12-17","Male","122765","51207","658202"
"LIMPOPO","12-17","Female","155861","55340","352420"
"LIMPOPO","12-17","Male","133643","41127","372427"
"MPUMALANGA","12-17","Female","80937","29170","257710"
"MPUMALANGA","12-17","Male","66936","20505","259479"
"NORTHERN CAPE","12-17","Female","20249","8152","69852"
"NORTHERN CAPE","12-17","Male","16172","6013","69047"
"NORTH WEST","12-17","Female","83384","30397","221385"
"NORTH WEST","12-17","Male","69512","22409","223092"
"WESTERN CAPE","12-17","Female","71173","28978","320269"
"WESTERN CAPE","12-17","Male","61074","24358","322848"
