"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918611"
"eastern cape","Pfizer","1343903"
"free state","Johnson & Johnson","487589"
"free state","Pfizer","676733"
"gauteng","Johnson & Johnson","1549492"
"gauteng","Pfizer","3919038"
"kwazulu-natal","Johnson & Johnson","1247350"
"kwazulu-natal","Pfizer","1989703"
"limpopo","Johnson & Johnson","1080935"
"limpopo","Pfizer","1046372"
"mpumalanga","Johnson & Johnson","830882"
"mpumalanga","Pfizer","576494"
"northern cape","Johnson & Johnson","216210"
"northern cape","Pfizer","227335"
"north west","Johnson & Johnson","714282"
"north west","Pfizer","624422"
"western cape","Johnson & Johnson","751889"
"western cape","Pfizer","2124040"
