"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","139239","39001","416942"
"EASTERN CAPE","12-17","Male","112415","26392","429096"
"FREE STATE","12-17","Female","88251","37155","161705"
"FREE STATE","12-17","Male","74779","27311","162847"
"GAUTENG","12-17","Female","204855","81864","649047"
"GAUTENG","12-17","Male","168095","63099","648920"
"KWAZULU-NATAL","12-17","Female","145636","51454","647510"
"KWAZULU-NATAL","12-17","Male","102650","33267","658202"
"LIMPOPO","12-17","Female","130682","39133","352420"
"LIMPOPO","12-17","Male","109218","29085","372427"
"MPUMALANGA","12-17","Female","71086","19523","257710"
"MPUMALANGA","12-17","Male","59632","14326","259479"
"NORTHERN CAPE","12-17","Female","14962","4574","69852"
"NORTHERN CAPE","12-17","Male","12127","3426","69047"
"NORTH WEST","12-17","Female","79918","25077","221385"
"NORTH WEST","12-17","Male","66239","18126","223092"
"WESTERN CAPE","12-17","Female","70416","26651","320269"
"WESTERN CAPE","12-17","Male","59910","22157","322848"
